run,I00,I01,I10,I11
98,1.299218e-11,9.693682e-06,1.943509e-05,2.949459e-05
99,1.272724e-11,9.858069e-06,1.943991e-05,2.910247e-05
100,1.307568e-11,1.057810e-05,2.064785e-05,3.061036e-05
101,1.307061e-11,1.004225e-05,1.998302e-05,2.982472e-05
102,1.275770e-11,1.038093e-05,2.041918e-05,3.028621e-05
103,1.306982e-11,9.784934e-06,1.984445e-05,2.965263e-05
104,1.300669e-11,9.607688e-06,1.983237e-05,2.986762e-05
105,1.278582e-11,9.474760e-06,1.892383e-05,2.854725e-05
106,1.307573e-11,1.033809e-05,2.000687e-05,2.989401e-05
107,1.273157e-11,9.825292e-06,1.945007e-05,2.933066e-05
108,1.272494e-11,1.001784e-05,2.029999e-05,2.965112e-05
109,1.288461e-11,1.013742e-05,1.937395e-05,2.943171e-05
110,1.275399e-11,9.008701e-06,1.888610e-05,2.868070e-05
111,1.282264e-11,9.502259e-06,1.941226e-05,2.914876e-05
112,1.289923e-11,1.033838e-05,2.019886e-05,3.037174e-05
113,1.296976e-11,9.937940e-06,1.953086e-05,2.959257e-05
114,1.319041e-11,1.004635e-05,2.005151e-05,2.994074e-05
115,1.287742e-11,9.842276e-06,2.025670e-05,3.041778e-05
116,1.279275e-11,9.469942e-06,1.870935e-05,2.835192e-05
117,1.272190e-11,9.664401e-06,1.965837e-05,2.957443e-05
118,1.325463e-11,9.430900e-06,1.918758e-05,2.910184e-05
119,1.286694e-11,9.627283e-06,1.932502e-05,2.910314e-05
120,1.300420e-11,1.031381e-05,2.090447e-05,3.085324e-05
121,1.284267e-11,9.886044e-06,2.004162e-05,2.986551e-05
122,1.280889e-11,9.943874e-06,1.928997e-05,2.907669e-05
123,1.273616e-11,9.906545e-06,1.980926e-05,2.954610e-05
124,1.305717e-11,1.019774e-05,2.063312e-05,3.104682e-05
125,1.279234e-11,1.019524e-05,2.053792e-05,3.070340e-05
126,1.291563e-11,9.571880e-06,1.918507e-05,2.869750e-05
127,1.278185e-11,9.639770e-06,1.909443e-05,2.876863e-05
128,1.281873e-11,1.072119e-05,2.123356e-05,3.152534e-05
129,1.296288e-11,9.862503e-06,1.953333e-05,2.898172e-05
130,1.275424e-11,9.570887e-06,1.905934e-05,2.888805e-05
131,1.272774e-11,9.606008e-06,1.943090e-05,2.943550e-05
132,1.349446e-11,9.832966e-06,1.931173e-05,2.917212e-05
133,1.273069e-11,1.027495e-05,2.045540e-05,3.038066e-05
134,1.288307e-11,9.903040e-06,1.995544e-05,3.011527e-05
135,1.273267e-11,9.924873e-06,1.994158e-05,2.953907e-05
136,1.291225e-11,1.019858e-05,1.999512e-05,2.964219e-05
137,1.274003e-11,9.979830e-06,2.022124e-05,2.980614e-05
138,1.276365e-11,9.955941e-06,1.959305e-05,2.940321e-05
139,1.278688e-11,9.659269e-06,1.941782e-05,2.935536e-05
140,1.308587e-11,9.789216e-06,1.983426e-05,2.952282e-05
141,1.310376e-11,9.351865e-06,1.944852e-05,2.954131e-05
142,1.302874e-11,1.005906e-05,2.000069e-05,2.994319e-05
143,1.282686e-11,1.026249e-05,2.025034e-05,3.047879e-05
144,1.274255e-11,9.987991e-06,1.936636e-05,2.910646e-05
145,1.321142e-11,9.903278e-06,1.962320e-05,2.981089e-05
146,1.274640e-11,9.699034e-06,1.921090e-05,2.885442e-05
147,1.266456e-11,9.932129e-06,1.966293e-05,2.938872e-05
148,1.291588e-11,9.950198e-06,2.039693e-05,3.086155e-05
149,1.283031e-11,9.714687e-06,1.935832e-05,2.898728e-05
150,1.281580e-11,9.979842e-06,2.001251e-05,2.997951e-05
151,1.279936e-11,9.848691e-06,1.964241e-05,2.955297e-05
152,1.280204e-11,1.001494e-05,2.012183e-05,3.008114e-05
153,1.293057e-11,1.007337e-05,2.004889e-05,2.987144e-05
154,1.284071e-11,1.034309e-05,2.056486e-05,3.107774e-05
155,1.281734e-11,1.005466e-05,2.023380e-05,3.042367e-05
156,1.295077e-11,9.966725e-06,1.938752e-05,2.935163e-05
157,1.271000e-11,9.942630e-06,2.013082e-05,3.031922e-05
158,1.274474e-11,1.071401e-05,2.127109e-05,3.126404e-05
159,1.292587e-11,9.739669e-06,1.943738e-05,2.927527e-05
160,1.273324e-11,9.499469e-06,1.943789e-05,2.987623e-05
161,1.282867e-11,9.923663e-06,2.005489e-05,2.995359e-05
162,1.280540e-11,1.013792e-05,2.045402e-05,3.031399e-05
163,1.269057e-11,9.734426e-06,1.938490e-05,2.899543e-05
164,1.290061e-11,1.042470e-05,2.053616e-05,3.060376e-05
165,1.281979e-11,9.567644e-06,1.966641e-05,2.989050e-05
166,1.290709e-11,1.016766e-05,2.020290e-05,3.077750e-05
167,1.290763e-11,1.041227e-05,2.061095e-05,3.056595e-05
168,1.307123e-11,1.011926e-05,1.996284e-05,2.959781e-05
169,1.295280e-11,1.046821e-05,2.137085e-05,3.133726e-05
170,1.313107e-11,9.725595e-06,1.932854e-05,2.890634e-05
171,1.291499e-11,9.827415e-06,1.942430e-05,2.884639e-05
172,1.284839e-11,1.069984e-05,2.124004e-05,3.158416e-05
173,1.277499e-11,9.634223e-06,1.927259e-05,2.957905e-05
174,1.281071e-11,1.036475e-05,2.063582e-05,3.043899e-05
175,1.284497e-11,1.002977e-05,1.929741e-05,2.871785e-05
176,1.285491e-11,9.833455e-06,1.929506e-05,2.962447e-05
177,1.276291e-11,1.017627e-05,1.990729e-05,2.967953e-05
178,1.292272e-11,9.576255e-06,1.908664e-05,2.859825e-05
179,1.289008e-11,1.024928e-05,2.054199e-05,3.110309e-05
180,1.327903e-11,1.025088e-05,2.023444e-05,2.984005e-05
181,1.277824e-11,1.049681e-05,2.030297e-05,3.040791e-05
182,1.285054e-11,9.930274e-06,2.026206e-05,3.094139e-05
183,1.273224e-11,1.004607e-05,2.033395e-05,3.045977e-05
184,1.274325e-11,9.313626e-06,1.890668e-05,2.871672e-05
185,1.270776e-11,9.601469e-06,1.970788e-05,2.961244e-05
186,1.290213e-11,9.795568e-06,1.984757e-05,2.951597e-05
187,1.271337e-11,9.595621e-06,1.957327e-05,2.902884e-05
188,1.271610e-11,9.963981e-06,1.961663e-05,2.916184e-05
189,1.271010e-11,9.924537e-06,2.015989e-05,2.999370e-05
190,1.276053e-11,1.015650e-05,2.008125e-05,3.014968e-05
191,1.315781e-11,9.751854e-06,1.996358e-05,2.994953e-05
192,1.278222e-11,1.059876e-05,1.997709e-05,3.015334e-05
193,1.269287e-11,1.007359e-05,2.004878e-05,3.019506e-05
194,1.288352e-11,9.372175e-06,1.883119e-05,2.788831e-05
195,1.285391e-11,9.774265e-06,1.974890e-05,2.964762e-05
196,1.287292e-11,9.380985e-06,1.908678e-05,2.890520e-05
197,1.284824e-11,1.001444e-05,1.991911e-05,2.988792e-05
198,1.284055e-11,9.898088e-06,2.015024e-05,2.993250e-05
199,1.290046e-11,9.872502e-06,1.985997e-05,2.964531e-05
200,1.277153e-11,9.789555e-06,1.920287e-05,2.934375e-05
